addr,lat,lng,addr_norm,bank_code,bank_name,branch_code,branch_name,tel_no,manager,establish_date,extended_open_time,url
新北市永和區中和路341號,24.999791,121.507716,新北市永和區雙和里中和路341號,812,台新國際商業銀行,8120207,台新國際商業銀行中和分行,02-22327788,慕宗翰,1995-11-01,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120207"
嘉義市垂楊路620號,23.473485,120.443919,嘉義市西區書院里垂楊路620號,812,台新國際商業銀行,8120218,台新國際商業銀行嘉義分行,05-2222818,尤協敬,1995-10-24,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120218"
台中市豐原區圓環南路129號,24.247097,120.709962,台中市豐原區西安里圓環南路129號,812,台新國際商業銀行,8120229,台新國際商業銀行豐原分行,04-25257999,黃忠華,1996-02-15,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120229"
花蓮縣花蓮市中正路四O八-九號,23.968898,121.59461,花蓮縣花蓮市中正路,812,台新國際商業銀行,8120230,台新國際商業銀行花蓮分行,038-345930,龔汎,1996-03-21,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120230"
新竹市東大路二段八十三號,24.813458,120.967535,新竹市北區水田里東大路二段83號,812,台新國際商業銀行,8120241,台新國際商業銀行新竹分行,03-5351546,張曉雲,1996-05-09,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120241"
高雄市新興區七賢一路386號,22.634399,120.307567,高雄市新興區南港里七賢一路386號,812,台新國際商業銀行,8120252,台新國際商業銀行七賢分行,07-2388545,郭惠芬,1997-01-30,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120252"
台北市信義區松高路1號,25.039556,121.563935,台北市信義區興雅里松高路1號,812,台新國際商業銀行,8120263,台新國際商業銀行信義分行,02-27230088,張綱,1997-05-31,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120263"
台中市崇德路2段51號,24.170254,120.685135,台中市北屯區平德里崇德路二段51號,812,台新國際商業銀行,8120274,台新國際商業銀行北台中分行,04-22326886,卓玉琳,1997-06-30,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120274"
新北市三重區正義北路112號,25.06520932,121.4968908,新北市三重區正義里正義北路112號,812,台新國際商業銀行,8120285,台新國際商業銀行三重分行,02-29836100,卓育芬,1997-11-08,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120285"
台南市永福路2段150號,22.994469,120.201614,台南市中西區永福里永福路二段150號,812,台新國際商業銀行,8120296,台新國際商業銀行永福分行,06-2204622,陳瑛琪,1998-01-08,星期一至五 09:00至17:00,"https://www.banking.gov.tw/ch/home.jsp?id=60&parentpath=0,4&mcustomize=FscSearch_BankSub2.jsp&bank_no=8120296"
